n;Bubble Sort;Merge Sort;Busca Sequencial;Busca Binaria
0;150;240;50;60
1;50;40;71;80
2;90;370;60;50
3;150;511;60;90
4;160;632;50;50
5;250;911;50;100
6;220;1142;60;50
7;451;1282;50;100
8;582;1483;81;40
9;691;1753;60;110
10;842;2004;60;50
11;962;2274;50;80
12;1223;2304;50;50
13;1483;2575;60;80
14;1463;2725;50;60
15;1723;3046;60;91
16;1904;3276;60;61
17;2295;3456;90;120
18;2715;3687;80;50
19;2805;3898;70;90
20;2895;4278;60;60
21;2936;4418;70;80
22;3326;4789;100;50
23;3727;5019;80;71
24;3998;5139;80;60
25;4569;5450;91;90
26;4619;5751;80;50
27;5189;5760;81;100
28;5370;6232;80;50
29;6562;6382;70;91
30;6492;6653;70;60
31;6903;6903;70;90
32;7253;7244;70;50
33;7985;7554;100;121
34;7825;7785;100;50
35;9016;8125;90;100
36;9057;8245;101;50
37;10339;8546;90;111
38;8176;8756;100;50
39;11462;8967;80;110
40;10670;9118;90;50
41;12013;9598;70;90
42;12553;9759;90;50
43;25418;10921;90;110
44;14327;10510;80;50
45;13615;10580;100;110
46;15509;10780;101;40
47;15729;10810;100;100
48;15910;11031;140;50
49;17402;11571;90;100
50;17573;11812;80;50
51;18905;12033;110;110
52;18685;12414;110;50
53;20388;12684;100;111
54;20458;12965;110;60
55;20108;13175;100;101
56;21060;13235;120;50
57;20408;13576;100;90
58;22883;13806;130;30
59;35757;19696;150;140
60;45355;27422;270;110
61;31889;18875;180;180
62;33923;18555;170;60
63;34364;19316;160;150
64;36708;19586;140;70
65;36549;19837;151;140
66;33022;16120;150;50
67;32110;16260;121;130
68;31079;16781;120;30
69;31910;16912;130;121
70;34645;17102;130;40
71;34805;17232;130;100
72;38011;17773;130;40
73;38021;18264;130;100
74;40826;18104;140;50
75;40065;18454;120;81
76;36748;19015;130;51
77;40015;19046;150;80
78;43411;19347;150;50
79;42249;19697;140;101
80;43291;19646;130;60
81;44784;19988;151;80
82;43882;20188;130;50
83;47889;20588;141;80
84;48962;20889;151;50
85;47319;21170;130;110
86;48410;21490;150;50
87;48922;34264;140;100
88;50715;21861;130;50
89;48712;22392;141;90
90;53850;22652;140;50
91;54482;22592;150;110
92;59141;23204;140;50
93;56396;23454;160;100
94;59351;23935;150;30
95;63539;23674;140;80
96;63569;26620;250;50
97;80591;32150;150;100
98;65562;25197;160;60
99;62517;25017;160;111
100;67066;25327;140;40
101;67145;25818;151;110
102;73146;26099;170;40
103;66995;26770;171;110
104;75882;26670;180;50
105;75561;26980;180;100
106;74570;27582;161;40
107;71764;27561;160;111
108;80160;27611;180;41
109;80431;27992;170;110
110;80521;28353;180;50
111;80691;33632;231;130
112;85440;29024;180;60
113;85470;29304;180;100
114;86132;55063;341;90
115;103805;39254;251;200
116;108473;37661;251;60
117;116848;39123;231;160
118;124934;39123;230;70
119;101741;31198;200;80
120;94647;39865;191;50
121;102281;31639;190;110
122;104406;31930;180;50
123;96571;32471;190;121
124;102813;32391;191;50
125;103654;32651;191;110
126;102622;32862;180;50
127;108443;33152;180;90
128;108352;33262;191;50
129;108403;33573;191;100
130;102241;34134;181;50
131;105547;34485;200;160
132;112821;34695;201;40
133;119254;40195;281;150
134;145713;46547;321;80
135;145632;46116;261;211
136;126557;36288;210;40
137;142487;38402;230;160
138;125716;36598;220;60
139;128130;37540;200;120
140;136065;37300;201;60
141;134793;37480;191;110
142;130865;37650;200;50
143;132849;37831;210;120
144;151463;42820;210;60
145;141806;38743;210;100
146;140032;39234;211;40
147;138389;46968;401;131
148;159048;39925;220;50
149;156574;40245;210;150
150;152506;40325;210;50
151;152836;47630;221;120
152;163286;40386;230;60
153;232996;53250;291;180
154;200195;41998;240;60
155;167113;41799;210;141
156;166772;42129;231;50
157;162354;47770;231;150
158;165780;42299;221;50
159;157906;42600;231;140
160;170039;43051;210;60
161;168616;43291;220;130
162;170509;61334;230;50
163;180498;43912;221;90
164;172894;44002;231;50
165;176390;44955;251;120
166;183383;44834;221;40
167;183313;45195;230;131
168;173865;45645;231;50
169;212097;56506;230;120
170;191980;49012;231;50
171;186520;46717;251;130
172;194494;46987;231;50
173;194214;47098;241;100
174;201226;47529;231;50
175;200295;48281;251;120
176;193673;48060;240;41
177;203090;48451;250;120
178;202208;48490;240;50
179;216506;49012;240;130
180;213710;49182;250;60
181;220422;49623;251;110
182;223909;49943;270;50
183;211566;50254;261;120
184;218679;50264;240;40
185;217547;51236;250;131
186;247744;51567;260;50
187;237605;51226;260;130
188;231643;52067;261;40
189;241913;51787;250;110
190;233577;51827;250;50
191;240871;52979;250;110
192;243365;54232;300;71
193;247504;54021;281;160
194;241031;54232;270;60
195;240060;54652;280;120
196;259706;54411;291;50
197;268683;54652;291;100
198;265307;55283;271;40
199;254236;66294;321;171
200;262101;55234;260;50
201;274234;55945;291;120
202;264546;57127;260;71
203;268583;56977;270;110
204;274233;56927;271;50
205;286827;57337;281;130
206;277099;57428;290;40
207;280896;57307;271;120
208;281356;57998;270;50
209;287268;58309;271;130
210;282890;58509;271;50
211;296585;58931;270;110
212;291616;59071;280;50
213;287318;59812;271;130
214;297487;74119;300;50
215;314559;60363;301;140
216;307656;61325;290;60
217;341339;70252;611;181
218;336289;62166;300;60
219;304410;61796;291;130
220;318255;62537;301;40
221;340778;67857;581;191
222;399007;81042;431;80
223;409607;64150;311;191
224;336109;63228;320;60
225;336430;63278;321;120
226;338924;62737;300;60
227;326702;63128;310;121
228;348292;64080;300;60
229;377186;64571;341;121
230;346499;65343;311;50
231;357349;65372;340;130
232;348573;65784;321;60
233;375173;65292;330;130
234;379350;65813;320;60
235;398576;67246;341;140
236;370393;67366;341;60
237;377737;68197;320;140
238;377497;67877;321;50
239;363861;68198;320;121
240;391163;68368;341;50
241;429474;68829;330;110
242;414546;69681;330;51
243;393226;69159;341;130
244;375643;69641;341;50
245;434494;69861;331;150
246;383899;69941;340;61
247;388137;70111;320;140
248;415778;86021;340;50
249;415047;71033;321;140
250;399508;71914;330;61
251;446376;71734;331;160
252;432730;71995;361;40
253;431678;72405;350;130
254;415829;88226;360;50
255;437178;72776;351;120
256;456225;73117;351;50
257;413575;73107;350;120
258;451726;74029;351;50
259;432660;74188;350;160
260;471312;74670;370;60
261;470070;74500;370;130
262;451155;75441;351;60
263;461935;76383;391;130
264;456475;76032;370;50
265;498122;76633;371;140
266;500177;77705;350;70
267;455573;77746;361;170
268;488024;78026;381;50
269;498393;77966;351;130
270;483204;78557;371;60
271;512370;78767;370;150
272;483535;90890;361;60
273;508482;78838;361;161
274;516858;81132;381;60
275;480901;79509;361;171
276;533599;81392;411;70
277;502130;80450;381;141
278;500417;80200;351;50
279;514763;80821;341;120
280;526525;80511;361;40
281;521366;92183;360;141
282;507310;81633;361;60
283;511537;82544;371;141
284;518070;82445;370;40
285;529591;82995;350;160
286;515215;86622;361;50
287;546944;83076;371;150
288;540912;83706;381;60
289;544128;87824;361;121
290;556993;83927;351;40
291;541524;84769;361;140
292;534881;84929;371;40
293;536254;84869;351;141
294;547415;85450;371;40
295;567312;85500;400;170
296;567743;108573;401;70
297;595825;86742;391;131
298;562082;86973;371;50
299;551702;87233;391;131
300;571319;87393;381;50
301;596847;88696;380;150
302;594603;88346;411;61
303;592269;88706;391;110
304;620802;89718;400;60
305;628788;89448;391;160
306;605814;89768;381;60
307;613689;90089;371;140
308;638085;89999;401;40
309;634207;93345;461;190
310;623707;118662;631;70
311;791061;91701;431;200
312;606395;89768;431;60
313;646370;90760;411;161
314;674964;91461;431;50
315;645749;91081;431;140
316;681045;91532;421;60
317;657451;92352;410;150
318;720118;92684;441;60
319;677518;92864;420;160
320;677639;92623;411;51
321;661950;92914;391;170
322;696304;93215;391;40
323;671467;93555;420;120
324;675535;93936;421;50
325;688619;95229;431;120
326;853297;103403;481;80
327;740166;96811;430;190
328;716952;97433;441;60
329;709428;96581;400;170
330;934319;122279;581;80
